Source,Target,Weight,Type
braude_twain,chukovsky_twain,4,undirected
braude_twain,daruzes_twain,6,undirected
braude_twain,engel’gardt_twain,1,undirected
braude_twain,unknown_twain,3,undirected
chukovsky_twain,braude_twain,4,undirected
chukovsky_twain,daruzes_twain,2,undirected
chukovsky_twain,engel’gardt_twain,4,undirected
chukovsky_twain,unknown_twain,6,undirected
daruzes_twain,braude_twain,6,undirected
daruzes_twain,chukovsky_twain,2,undirected
daruzes_twain,unknown_twain,1,undirected
engel’gardt_twain,braude_twain,1,undirected
engel’gardt_twain,chukovsky_twain,4,undirected
engel’gardt_twain,unknown_twain,3,undirected
unknown_twain,braude_twain,3,undirected
unknown_twain,chukovsky_twain,6,undirected
unknown_twain,daruzes_twain,1,undirected
unknown_twain,engel’gardt_twain,3,undirected
