"lemmatized_Ru1" "lemmatized_Ru2" "lemmatized_Ru3" "lemmatized_Ru4" "lemmatized_Ru5" "rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb"
"и" 3.33634602969658 4.2042042042042 4.0967028832134 6.15286651700915 5.12913786831575 0
"я" 3.04626640843555 3.87510798469703 3.54639951084145 3.68351752719738 3.26535852609505 0
"не" 2.07531740908113 2.4229709161216 2.38308013106941 2.56216542911414 2.76357178011255 0
"что" 2.04432967505918 2.01777119585339 1.9848548986407 2.61073217060957 2.24680632529476 0
"он" 1.79212395093609 1.97252046567115 2.1134158004484 2.354947332067 2.16014379560482 0
"в" 2.44717021734452 2.14118227816858 1.99896524152204 1.86927991711276 1.81563349239296 0
"на" 1.86528943404347 1.77917643671068 1.75281814903658 1.76459160766707 1.78781589027026 0
"быть" 1.18269851517108 1.62491258381669 1.50510324067542 1.68256777758591 1.47754263582479 0
"мы" 0.945986658058963 1.40482948702127 1.28090557044981 1.07710240027629 1.04209017182719 0
"а" 0.66451474069292 0.726068534287712 0.895222865026731 1.08034018304265 1.8466608178375 0
"то" 0.975252851301915 0.999629766753054 0.946960788924949 0.85261612847522 1.06027860398434 0
"с" 1.15515386270712 0.872104981694023 0.877976890393992 0.802970126057676 0.907281792309503 0
"это" 0.774693350548741 1.06339215928257 0.887383785648214 1.09760835779658 0.980035520938095 0
"как" 0.894340434689047 0.91941256324818 0.830942414122885 0.959462959765153 0.981105428712045 0
"они" 0.649881644071444 0.538895059443005 0.76666196321904 1.06630979105509 0.905141976761603 0
"весь" 0.666236281471917 0.798058332304908 0.772933226721854 0.822396822655845 0.93188967111035 0
"но" 0.622336991607489 0.907071455016661 0.920307919037988 0.987523743740287 0.485738129373248 0
"так" 0.625780073165483 0.686988358221235 0.613016007400091 0.813762735278881 0.859135942481758 0
"ты" 0.439853669033785 0.812456291908347 0.813696439490146 0.77059229839406 0.703999315259025 0
"этот" 0.687755541209382 0.540951910814925 0.619287270902905 0.678855120013815 0.604497892281685 0
